"","Genre","Movie_ID"
"1147","Romance","59930"
"1148","Drama","15765"
"1149","Music","15765"
"1150","Comedy","31643"
"1151","Action","6"
"1152","Thriller","6"
"1153","Crime","6"
"1154","Adventure","329"
"1155","Fiction","329"
"1156","Thriller","10909"
"1157","Crime","10909"
"1158","Action","507"
"1159","Crime","507"
"1160","Drama","507"
"1161","Thriller","507"
"1162","Drama","34024"
"1163","Action","29918"
"1164","Adventure","29918"
"1165","Drama","29918"
"1166","Family","29918"
"1167","Adventure","9593"
"1168","Fantasy","9593"
"1169","Action","9593"
"1170","Comedy","9593"
"1171","Family","9593"
"1172","Comedy","42580"
"1173","Family","42580"
"1174","Action","22317"
"1175","Comedy","22317"
"1176","Western","22317"
"1177","Drama","1413"
"1178","Romance","1413"
"1179","Comedy","12121"
"1180","Drama","2246"
"1181","Crime","2246"
"1182","Drama","10502"
"1183","Comedy","10440"
"1184","Mystery","10440"
"1185","Drama","9516"
"1186","Action","9516"
"1187","Crime","9516"
"1188","Action","2320"
"1189","Adventure","2320"
"1190","Drama","2320"
"1191","Thriller","2320"
"1192","Drama","5879"
"1193","Romance","5879"
"1194","Thriller","83718"
"1195","Comedy","83718"
"1196","Drama","83718"
"1197","Romance","83718"
"1198","Drama","11971"
"1199","Comedy","11971"
"1200","Romance","11971"
"1201","Drama","2625"
"1202","Romance","2625"
"1203","Comedy","31911"
"1204","Romance","31911"
"1205","Comedy","788"
"1206","Drama","788"
"1207","Family","788"
"1208","Comedy","21450"
"1209","Drama","21450"
"1210","Adventure","11231"
"1211","Comedy","41588"
"1212","Drama","41588"
"1213","Action","10447"
"1214","Drama","10447"
"1215","Fiction","10447"
"1216","Thriller","10447"
"1217","Comedy","31586"
"1218","Drama","31586"
"1219","Family","31586"
"1220","Fantasy","31586"
"1221","Fiction","31586"
"1222","Romance","9300"
"1223","Drama","9300"
"1224","Fantasy","9300"
"1225","Crime","9559"
"1226","Drama","9559"
"1227","Thriller","9559"
"1228","Drama","9800"
"1229","Drama","713"
